Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.511459638654785,0.5606534764976626,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
Anaphase,0.5171010603648865,0.4730296505430876,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
Apoptosis,0.5073837807220906,0.4023839382989896,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
Binuclear,0.5110133449222538,0.3516753365912892,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
Elongated,0.5096130228883098,0.3775078522166038,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
Folded,0.5097068015283085,0.24144167155643348,0.5735328903992116,0.2414416715564335,False,False,features_shuffled,CP
Grape,0.5137323640099505,0.5713346411092165,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
Hole,0.5134216729246114,0.489003109870915,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
Interphase,0.5031347709210001,0.472330997999559,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
Large,0.509250126724707,0.47568560204627514,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
Metaphase,0.5131897245130326,0.44047561837016935,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
MetaphaseAlignment,0.507884001313083,0.4348160370347718,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
OutOfFocus,0.5078825063645833,0.774582938253162,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
Polylobed,0.502715784381508,0.44313584502636805,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
Prometaphase,0.5055604982845542,0.3350442350088168,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
SmallIrregular,0.5063030122785144,0.532122985055435,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
neg_control,0.5033374386656079,0.4254462681735894,0.4912297985403178,0.30871529628646766,False,False,features_shuffled,CP
ADCCM,0.8466411620722235,2.9806965900619558,0.002335474142086444,2.6316249367732607,True,True,non-shuffled,CP
Anaphase,0.7995371438590255,2.8798667509312486,0.002335474142086444,2.6316249367732607,True,True,non-shuffled,CP
Apoptosis,0.8710299831336421,2.9088254891743834,0.002335474142086444,2.6316249367732607,True,True,non-shuffled,CP
Binuclear,0.659486770998327,2.4843830955737918,0.003980501483620135,2.400062209873756,True,True,non-shuffled,CP
Elongated,0.8254788492485774,2.9503059802694023,0.002335474142086444,2.6316249367732607,True,True,non-shuffled,CP
Folded,0.7196567236286904,2.2939037451837927,0.005760416917004193,2.2395460828612,True,True,non-shuffled,CP
Grape,0.9120700494516558,3.000434077045024,0.002335474142086444,2.6316249367732607,True,True,non-shuffled,CP
Hole,0.7559382896824896,2.6393727634484723,0.00300007979187437,2.522867194377035,True,True,non-shuffled,CP
Interphase,0.5524849259964083,1.888466498291408,0.013736068262855328,1.8621375595690588,True,True,non-shuffled,CP
Large,0.7770509635239881,2.7828926121039097,0.002335474142086444,2.6316249367732607,True,True,non-shuffled,CP
Metaphase,0.7559904024800268,2.84272789861959,0.002335474142086444,2.6316249367732607,True,True,non-shuffled,CP
MetaphaseAlignment,0.826561633723914,2.9417581485925557,0.002335474142086444,2.6316249367732607,True,True,non-shuffled,CP
OutOfFocus,0.9685630758471145,3.000434077045025,0.002335474142086444,2.6316249367732607,True,True,non-shuffled,CP
Polylobed,0.7572250648020418,2.7990405964557747,0.002335474142086444,2.6316249367732607,True,True,non-shuffled,CP
Prometaphase,0.8886778896421715,2.9715180650459585,0.002335474142086444,2.6316249367732607,True,True,non-shuffled,CP
SmallIrregular,0.8011114899916373,2.8666234575740877,0.002335474142086444,2.6316249367732607,True,True,non-shuffled,CP
neg_control,0.5673052154349136,1.574557591228243,0.026634368784359194,1.574557591228243,True,True,non-shuffled,CP
ADCCM,0.5061633407920773,0.14608124311409598,0.7143626783323105,0.14608124311409595,False,False,phenotype_shuffled,CP
Anaphase,0.5079737070582191,0.1659486302997022,0.7143626783323105,0.14608124311409595,False,False,phenotype_shuffled,CP
Apoptosis,0.5039864272058157,0.2425666086092175,0.6946311855112536,0.1582457229091815,False,False,phenotype_shuffled,CP
Binuclear,0.5092286680190827,0.6333508971764363,0.6082773665256658,0.21589834295822205,False,False,phenotype_shuffled,CP
Elongated,0.5079028570630787,0.324084025731011,0.6200426208922967,0.2075784566595738,False,False,phenotype_shuffled,CP
Folded,0.5120731761559386,0.3671660182888711,0.6082773665256658,0.21589834295822205,False,False,phenotype_shuffled,CP
Grape,0.5127223079517973,0.5778058396897056,0.6082773665256658,0.21589834295822205,False,False,phenotype_shuffled,CP
Hole,0.5086629373831963,0.5318972374311556,0.6082773665256658,0.21589834295822205,False,False,phenotype_shuffled,CP
Interphase,0.504257142053537,0.4293468881906566,0.6082773665256658,0.21589834295822205,False,False,phenotype_shuffled,CP
Large,0.5080616520274505,0.41267186126455674,0.6082773665256658,0.21589834295822205,False,False,phenotype_shuffled,CP
Metaphase,0.5086816407185122,0.3705340886707301,0.6082773665256658,0.21589834295822205,False,False,phenotype_shuffled,CP
MetaphaseAlignment,0.5064733398277089,0.40732419592139096,0.6082773665256658,0.21589834295822205,False,False,phenotype_shuffled,CP
OutOfFocus,0.5041430855737574,0.1961869512740392,0.7143626783323105,0.14608124311409595,False,False,phenotype_shuffled,CP
Polylobed,0.5040431157137267,0.5154123045638898,0.6082773665256658,0.21589834295822205,False,False,phenotype_shuffled,CP
Prometaphase,0.5042293919866597,0.4745097659699784,0.6082773665256658,0.21589834295822205,False,False,phenotype_shuffled,CP
SmallIrregular,0.5078839818442324,0.5074060487473037,0.6082773665256658,0.21589834295822205,False,False,phenotype_shuffled,CP
neg_control,0.5055604445537899,0.45393113411609637,0.6082773665256658,0.21589834295822205,False,False,phenotype_shuffled,CP
ADCCM,0.5148121016649955,0.5300953828042151,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
Anaphase,0.5143490250106288,0.38639243990516725,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
Apoptosis,0.5066822582062551,0.3804720884667181,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
Binuclear,0.5045579077899391,0.4238139481672012,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
Elongated,0.5101738170008282,0.5196444699319399,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
Folded,0.5116653850095564,0.4720333775449079,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
Grape,0.5088159140967883,0.37187736438080615,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
Hole,0.5100896900099643,0.6205349534267592,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
Interphase,0.5037926245079687,0.5182305216066166,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
Large,0.5148303072047506,0.3327520916573957,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
Metaphase,0.507985444672698,0.4342382280573242,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
MetaphaseAlignment,0.5063208140819538,0.4107888312377027,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
OutOfFocus,0.5073358504076516,0.2930472095415054,0.5092755077702146,0.2930472095415054,False,False,features_shuffled,CP_DP
Polylobed,0.5064768842975421,0.43553997528934985,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
Prometaphase,0.5038053970243315,0.4176521238214687,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
SmallIrregular,0.5023292162932749,0.33864129776889473,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
neg_control,0.5039825977568568,0.45546492641484,0.49382929208461507,0.30642315293504657,False,False,features_shuffled,CP_DP
ADCCM,0.9208505905051655,3.0004340770450257,0.0017253794328958736,2.763115383203823,True,True,non-shuffled,CP_DP
Anaphase,0.91986757118723,2.978618494750902,0.0017253794328958736,2.763115383203823,True,True,non-shuffled,CP_DP
Apoptosis,0.9327923229716949,2.9953134177362957,0.0017253794328958736,2.763115383203823,True,True,non-shuffled,CP_DP
Binuclear,0.6854851827816054,2.6302110637681517,0.0028451804896351502,2.545890178068116,True,True,non-shuffled,CP_DP
Elongated,0.8702078283778338,2.9909668708163135,0.0017253794328958736,2.763115383203823,True,True,non-shuffled,CP_DP
Folded,0.748807529607022,2.5553240201423657,0.0031552490320644606,2.500966357819773,True,True,non-shuffled,CP_DP
Grape,0.9490890560687227,3.000434077045024,0.0017253794328958736,2.763115383203823,True,True,non-shuffled,CP_DP
Hole,0.7851905080262651,2.7465377022247868,0.002344055373840689,2.6300321331533496,True,True,non-shuffled,CP_DP
Interphase,0.5636097550259827,2.0114336888989253,0.010348925244349714,1.9851047501765762,True,True,non-shuffled,CP_DP
Large,0.8504231666912102,2.914383058534472,0.0017253794328958736,2.763115383203823,True,True,non-shuffled,CP_DP
Metaphase,0.8890455894336571,2.9612399266208267,0.0017253794328958736,2.763115383203823,True,True,non-shuffled,CP_DP
MetaphaseAlignment,0.91796630424774,2.998713905641231,0.0017253794328958736,2.763115383203823,True,True,non-shuffled,CP_DP
OutOfFocus,0.9768464879065482,3.000434077045025,0.0017253794328958736,2.763115383203823,True,True,non-shuffled,CP_DP
Polylobed,0.8030407541137362,2.9204911637610538,0.0017253794328958736,2.763115383203823,True,True,non-shuffled,CP_DP
Prometaphase,0.9192275254514832,2.984286317575671,0.0017253794328958736,2.763115383203823,True,True,non-shuffled,CP_DP
SmallIrregular,0.8644755721643818,2.993853703593514,0.0017253794328958736,2.763115383203823,True,True,non-shuffled,CP_DP
neg_control,0.5732733056335684,1.6569369281915556,0.022032464133437832,1.6569369281915556,True,True,non-shuffled,CP_DP
ADCCM,0.5053671563471237,0.11548958597456546,0.8026255472961509,0.09548702093762963,False,False,phenotype_shuffled,CP_DP
Anaphase,0.5064841760979659,0.0954870209376296,0.8026255472961509,0.09548702093762963,False,False,phenotype_shuffled,CP_DP
Apoptosis,0.5040792868738323,0.21201224953111003,0.6955773197429641,0.15765458720851727,False,False,phenotype_shuffled,CP_DP
Binuclear,0.5091890884616965,0.6181322649945509,0.6610208008544594,0.1797848740178788,False,False,phenotype_shuffled,CP_DP
Elongated,0.5081890315759237,0.3310525493485279,0.6610208008544594,0.1797848740178788,False,False,phenotype_shuffled,CP_DP
Folded,0.5123368886154401,0.40705007639542895,0.6610208008544594,0.1797848740178788,False,False,phenotype_shuffled,CP_DP
Grape,0.5112192587581037,0.4535196036132942,0.6610208008544594,0.1797848740178788,False,False,phenotype_shuffled,CP_DP
Hole,0.5090259104945642,0.5243811739770329,0.6610208008544594,0.1797848740178788,False,False,phenotype_shuffled,CP_DP
Interphase,0.5043442678751483,0.4252650858762546,0.6610208008544594,0.1797848740178788,False,False,phenotype_shuffled,CP_DP
Large,0.5078195985660264,0.41024153515667744,0.6610208008544594,0.1797848740178788,False,False,phenotype_shuffled,CP_DP
Metaphase,0.5077162395825596,0.2906975087066549,0.6695886144079631,0.17419193963521767,False,False,phenotype_shuffled,CP_DP
MetaphaseAlignment,0.5055182532601477,0.35755936436258984,0.6610208008544594,0.1797848740178788,False,False,phenotype_shuffled,CP_DP
OutOfFocus,0.5044415685745526,0.21215164874770975,0.6955773197429641,0.15765458720851727,False,False,phenotype_shuffled,CP_DP
Polylobed,0.5040565236814458,0.5187205391579731,0.6610208008544594,0.1797848740178788,False,False,phenotype_shuffled,CP_DP
Prometaphase,0.5042754637126201,0.4687536668647795,0.6610208008544594,0.1797848740178788,False,False,phenotype_shuffled,CP_DP
SmallIrregular,0.5079674424563562,0.5477315194243595,0.6610208008544594,0.1797848740178788,False,False,phenotype_shuffled,CP_DP
neg_control,0.5055642342353533,0.45335086288005993,0.6610208008544594,0.1797848740178788,False,False,phenotype_shuffled,CP_DP
ADCCM,0.5093558422688985,0.4287703573839407,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
Anaphase,0.5118963452256516,0.28557004987974577,0.550501984433408,0.2592411111573966,False,False,features_shuffled,DP
Apoptosis,0.5054357809519885,0.42156646577508144,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
Binuclear,0.5039663245686886,0.5834715490114702,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
Elongated,0.519131198573618,0.6636573979174485,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
Folded,0.5104604575419268,0.4018099561982276,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
Grape,0.5084919800604281,0.3030479990323972,0.550501984433408,0.2592411111573966,False,False,features_shuffled,DP
Hole,0.5113904906171433,0.45131865022199746,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
Interphase,0.5035881115816754,0.4477819463174763,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
Large,0.5087891441172705,0.47356434436687433,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
Metaphase,0.5088928451023219,0.4131432338862732,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
MetaphaseAlignment,0.5048279823517353,0.5776725845873075,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
OutOfFocus,0.5035865717719177,0.21489945433212587,0.6096780304847196,0.21489945433212584,False,False,features_shuffled,DP
Polylobed,0.5064451612828221,0.5386510704457049,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
Prometaphase,0.5042340084974644,0.5941331436994142,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
SmallIrregular,0.5061415750446292,0.5145252734276601,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
neg_control,0.5038919594368392,0.45661881970863816,0.4814053689471778,0.31748907049819164,False,False,features_shuffled,DP
ADCCM,0.9705661094451438,3.0004340770450257,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
Anaphase,0.9617994597518288,2.9932666961958816,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
Apoptosis,0.9301424953335501,3.0004340770450244,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
Binuclear,0.768300727359247,2.8592798581979766,0.001567031779673746,2.804922195875384,True,True,non-shuffled,DP
Elongated,0.970357226285962,2.9871395496551196,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
Folded,0.85272594566594,2.8663937020177714,0.001567031779673746,2.804922195875384,True,True,non-shuffled,DP
Grape,0.9425280738652594,2.925062566360746,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
Hole,0.8568678853158745,3.000434077045024,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
Interphase,0.5843643394894145,2.2927417270517925,0.00541485974005379,2.2664127883294434,True,True,non-shuffled,DP
Large,0.9504819618419096,2.996623570770796,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
Metaphase,0.9683098082564418,3.000434077045024,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
MetaphaseAlignment,0.9445185673933799,3.0004340770450253,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
OutOfFocus,0.9384375863286156,3.000434077045025,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
Polylobed,0.8725536912334048,2.9570209884603083,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
Prometaphase,0.8724879616207302,2.923264567023689,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
SmallIrregular,0.9321838898403517,3.0004340770450244,0.0015604181819179554,2.806758997952252,True,True,non-shuffled,DP
neg_control,0.601334434568393,1.7200915848650857,0.01905058933066829,1.7200915848650857,True,True,non-shuffled,DP
ADCCM,0.5057164515625716,0.11526417754405757,0.8148257802534948,0.08893523882170841,False,False,phenotype_shuffled,DP
Anaphase,0.5065450486681576,0.07854634138858307,0.8345524926102375,0.07854634138858305,False,False,phenotype_shuffled,DP
Apoptosis,0.5035669303950965,0.22727663394811437,0.7195222888585706,0.1429557482480785,False,False,phenotype_shuffled,DP
Binuclear,0.5057035676350597,0.3140329535067712,0.6874398781800068,0.16276527817612216,False,False,phenotype_shuffled,DP
Elongated,0.5094351725507812,0.4073160529718579,0.661886970351667,0.17921616817916192,False,False,phenotype_shuffled,DP
Folded,0.5168821885727483,0.9175508931062253,0.661886970351667,0.17921616817916192,False,False,phenotype_shuffled,DP
Grape,0.5085039621919102,0.36827240439921083,0.661886970351667,0.17921616817916192,False,False,phenotype_shuffled,DP
Hole,0.5080086926282196,0.4846276166569047,0.661886970351667,0.17921616817916192,False,False,phenotype_shuffled,DP
Interphase,0.5037396315812815,0.42026613819911046,0.661886970351667,0.17921616817916192,False,False,phenotype_shuffled,DP
Large,0.5073636981485459,0.40289673560041295,0.661886970351667,0.17921616817916192,False,False,phenotype_shuffled,DP
Metaphase,0.5054015025549832,0.17907181548856313,0.7503879421629938,0.12471415316597041,False,False,phenotype_shuffled,DP
MetaphaseAlignment,0.5057680277936419,0.41263519072169164,0.661886970351667,0.17921616817916192,False,False,phenotype_shuffled,DP
OutOfFocus,0.5042402129533003,0.2547561232896286,0.7195222888585706,0.1429557482480785,False,False,phenotype_shuffled,DP
Polylobed,0.5048105186828622,0.5908564781348921,0.661886970351667,0.17921616817916192,False,False,phenotype_shuffled,DP
Prometaphase,0.5042023833247945,0.3933166303463232,0.661886970351667,0.17921616817916192,False,False,phenotype_shuffled,DP
SmallIrregular,0.5081369348762864,0.6395422276991828,0.661886970351667,0.17921616817916192,False,False,phenotype_shuffled,DP
neg_control,0.5054448627910512,0.42000655112844465,0.661886970351667,0.17921616817916192,False,False,phenotype_shuffled,DP
